date,Open,High,Low,Close,Volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,time_idx,NVDA_close,unique_id,sentiment
2023-11-22 00:00:00-05:00,49.825444647955656,50.30818524557121,47.66459379977652,48.69004821777344,899420000,2023-11-21 16:20:00-05:00,0.0,11,2,4,2023,0,0,0.9712812688169408,-0.0245875124039541,1294.6352629241308,0,48.69004821777344,NVDA,0
2023-11-24 00:00:00-05:00,48.44418371661637,48.89494370536702,47.719567599637976,47.75055313110352,294645000,2023-11-21 16:20:00-05:00,2.0,11,4,4,2023,0,0,0.7938670239400321,-0.0192954232139571,1269.6547276182969,1,47.75055313110352,NVDA,0
2023-11-27 00:00:00-05:00,47.774535085791925,48.50414574060009,47.626615118323514,48.21630096435547,395662000,2023-11-21 16:20:00-05:00,5.0,11,0,4,2023,0,0,0.8044461453956449,0.009753768337996,1282.038645700727,2,48.21630096435547,NVDA,0
2023-11-28 00:00:00-05:00,48.21030059128394,48.29725603847213,47.44770661904763,47.7955207824707,401491000,2023-11-21 16:20:00-05:00,6.0,11,1,4,2023,0,0,0.8925004342751938,-0.0087269278951082,1270.8503868809546,3,47.7955207824707,NVDA,0
2023-11-29 00:00:00-05:00,48.353231914775776,48.73602732533338,47.834507360313225,48.114356994628906,382005000,2023-11-21 16:20:00-05:00,7.0,11,2,4,2023,0,0,0.9017284850473491,0.0066708387509637,1279.3280248884373,4,48.114356994628906,NVDA,0
2023-11-30 00:00:00-05:00,47.99841648388341,48.084373021372656,46.39727247213995,46.745086669921875,526247000,2023-11-21 16:20:00-05:00,8.0,11,3,4,2023,1,0,1.1195641541288914,-0.0284586641126657,1242.9200583382171,5,46.745086669921875,NVDA,0
2023-12-01 00:00:00-05:00,46.50021939065631,47.17485908076749,46.16239818011134,46.740089416503906,369317000,2023-11-21 16:20:00-05:00,9.0,12,4,4,2023,0,1,1.2228300376666037,-0.0001069043566708,1242.7871847689871,6,46.740089416503906,NVDA,0
2023-12-04 00:00:00-05:00,46.05245523122368,46.05245523122368,44.986022261895734,45.48575592041016,437543000,2023-11-21 16:20:00-05:00,12.0,12,0,4,2023,0,0,1.4709048604026338,-0.0268363520856005,1209.4353103110543,7,45.48575592041016,NVDA,0
2023-12-05 00:00:00-05:00,45.445778832214906,46.57927336285984,45.25086586250878,46.545291900634766,371718000,2023-11-21 16:20:00-05:00,13.0,12,1,4,2023,0,0,1.2612409675674785,0.0232937973390738,1237.60765132416,8,46.545291900634766,NVDA,0
2023-12-06 00:00:00-05:00,47.19399783098956,47.365922206036586,45.391798443811325,45.482757568359375,380590000,2023-11-21 16:20:00-05:00,14.0,12,2,4,2023,0,0,1.128554553269145,-0.022827965813249,1209.3555861695163,9,45.482757568359375,NVDA,0
2023-12-07 00:00:00-05:00,45.67967404093923,46.60826168882766,45.583716069310206,46.57527542114258,350823000,2023-11-21 16:20:00-05:00,15.0,12,3,4,2023,0,0,1.0001036614002807,0.0240204840513722,1238.4048927395393,10,46.57527542114258,NVDA,0
2023-12-08 00:00:00-05:00,46.574276804692715,47.719766997972506,46.529294836927505,47.48487091064453,359224000,2023-11-21 16:20:00-05:00,16.0,12,4,4,2023,0,0,0.9796487233536452,0.019529578328356,1262.5904180945154,11,47.48487091064453,NVDA,0
2023-12-11 00:00:00-05:00,47.469880182116974,47.50985949480555,45.809619589825815,46.60626220703125,509728000,2023-11-21 16:20:00-05:00,19.0,12,0,4,2023,0,0,0.8686826500167325,-0.0185029186510081,1239.22881029897,12,46.60626220703125,NVDA,0
2023-12-12 00:00:00-05:00,46.02551974926929,47.64479809072532,46.02551974926929,47.63580322265625,372387000,2023-11-21 16:20:00-05:00,20.0,12,1,4,2023,0,0,0.848716214079026,0.0220901863155564,1266.6036056060798,13,47.63580322265625,NVDA,0
2023-12-13 00:00:00-05:00,47.60782054607612,48.57239155389096,47.58682997648847,48.06661605834961,447792000,2023-11-21 16:20:00-05:00,21.0,12,2,4,2023,0,0,0.8402279110639542,0.009043887297957,1278.0586258663673,14,48.06661605834961,NVDA,0
2023-12-14 00:00:00-05:00,48.36847815093142,48.64835240200664,47.400910159356584,48.328495025634766,391232000,2023-11-21 16:20:00-05:00,22.0,12,3,4,2023,0,0,0.9796038348336285,0.0054482505480988,1285.021809475246,15,48.328495025634766,NVDA,0
