Date,Open,High,Low,Close,Volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,time_idx,AAPL_close,unique_id,sentiment
2023-08-04 00:00:00-04:00,183.6809340478131,185.5224963676216,180.11661500704574,180.18592834472656,115799700,2023-08-03 16:30:00-04:00,0.0,8,4,3,2023,0,0,4.0914885604280355,-0.04801996401253761,1827.5061839673579,0,180.18592834472656,AAPL,0
2023-08-07 00:00:00-04:00,180.32454086912372,181.31462781819698,175.5919264611557,177.07705688476562,97576100,2023-08-03 16:30:00-04:00,3.0,8,0,3,2023,0,0,5.978856336703088,-0.017253686170282556,1795.9749657949344,1,177.07705688476562,AAPL,0
2023-08-08 00:00:00-04:00,177.9087289898081,178.48298124186843,175.81964489133262,178.01763916015625,67823000,2023-08-03 16:30:00-04:00,4.0,8,1,3,2023,0,0,6.908807174664899,0.00531171170301703,1805.514667039073,2,178.01763916015625,AAPL,0
2023-08-09 00:00:00-04:00,179.07704055404358,179.13644336005612,175.25530392276485,176.42361450195312,60378500,2023-08-03 16:30:00-04:00,5.0,8,2,3,2023,0,0,7.603957980834212,-0.008954307369333447,1789.3475337505654,3,176.42361450195312,AAPL,0
2023-08-10 00:00:00-04:00,177.7007905335651,178.95820511217872,175.83943745613908,176.2057647705078,54686900,2023-08-03 16:30:00-04:00,6.0,8,3,3,2023,0,0,8.031341845478504,-0.001234810498925043,1787.1380286296646,4,176.2057647705078,AAPL,0
2023-08-11 00:00:00-04:00,175.7993034466227,177.0881424893324,175.03590276334816,176.2652587890625,51988100,2023-08-03 16:30:00-04:00,7.0,8,4,3,2023,0,0,7.79216707093995,0.0003376394559631013,1787.741436941382,5,176.2652587890625,AAPL,0
2023-08-14 00:00:00-04:00,176.44371711975322,178.14896748076782,175.78937369863468,177.9209442138672,43675600,2023-08-03 16:30:00-04:00,10.0,8,0,3,2023,0,0,6.831809124246901,0.009393146648291273,1804.5339544277995,6,177.9209442138672,AAPL,0
2023-08-15 00:00:00-04:00,177.34592099472832,177.94076628789648,175.53161335110406,175.9281768798828,43622600,2023-08-03 16:30:00-04:00,11.0,8,1,3,2023,0,0,5.51790739702756,-0.01120029652939003,1784.3226390408554,7,175.9281768798828,AAPL,0
2023-08-16 00:00:00-04:00,175.61092006059548,177.0088162608788,174.9863181633248,175.05572509765625,46964900,2023-08-03 16:30:00-04:00,12.0,8,2,3,2023,0,0,4.134949777660241,-0.0049591361526030164,1775.47394013368,8,175.05572509765625,AAPL,0
2023-08-17 00:00:00-04:00,175.6208528452633,175.98767489704687,171.99223724872292,172.50778198242188,66062900,2023-08-03 16:30:00-04:00,13.0,8,3,3,2023,0,0,2.019489508551128,-0.014555040195417646,1749.6318455691176,9,172.50778198242188,AAPL,0
2023-08-18 00:00:00-04:00,170.82235510894964,173.59834528388794,170.48527458580276,172.9935760498047,61114200,2023-08-03 16:30:00-04:00,14.0,8,4,3,2023,0,0,1.8585135092362959,0.002816070450852637,1754.5589321092955,10,172.9935760498047,AAPL,0
2023-08-21 00:00:00-04:00,173.56861510861043,174.61952217759173,172.25001931121287,174.33200073242188,46311900,2023-08-03 16:30:00-04:00,17.0,8,0,3,2023,0,0,1.8581478650691001,0.007736846148737042,1768.1336846259176,11,174.33200073242188,AAPL,0
2023-08-22 00:00:00-04:00,175.5415274877659,176.15620551446153,174.73847648439144,175.71006774902344,42084200,2023-08-03 16:30:00-04:00,18.0,8,1,3,2023,0,0,1.6515232412730345,0.007904842546473834,1782.110503004002,12,175.71006774902344,AAPL,0
