date,open,high,low,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,time_idx,unique_id
7/21/22,255.1066742,273.2666626,254.8666687,271.706665,142032300,2022-07-20 16:07:00-04:00,0,7,3,3,2022,0,0,11.29778637,0.097804707,170.5985418,0,TSLA
7/22/22,276.2200012,280.7866821,270.7133179,272.2433472,103472700,2022-07-20 16:07:00-04:00,1,7,4,3,2022,0,0,14.3734947,0.001975226,170.9355126,1,TSLA
7/25/22,272.2166748,274.1466675,267.3999939,268.4333191,64073400,2022-07-20 16:07:00-04:00,4,7,0,3,2022,0,0,15.30462864,-0.013994935,168.5432811,2,TSLA
7/26/22,266.5133362,267.3099976,256.2633362,258.8599854,66820800,2022-07-20 16:07:00-04:00,5,7,1,3,2022,0,0,14.38391927,-0.035663731,162.5323988,3,TSLA
7/27/22,263.8099976,275.9266663,261.7900085,274.8200073,88110000,2022-07-20 16:07:00-04:00,6,7,2,3,2022,0,0,14.96098236,0.061655037,172.5533399,4,TSLA
7/28/22,280.0666809,283.2999878,272.7999878,280.8999939,84723000,2022-07-20 16:07:00-04:00,7,7,3,3,2022,0,0,15.4817913,0.022123522,176.3708275,5,TSLA
7/29/22,280.7000122,298.3200073,279.1000061,297.1499939,95313000,2022-07-20 16:07:00-04:00,8,7,4,3,2022,0,0,17.66094405,0.05784977,186.5738393,6,TSLA
8/1/22,301.2766724,311.8766785,295,297.2766724,117042900,2022-07-20 16:07:00-04:00,11,8,0,3,2022,0,1,17.76988232,0.000426312,186.6533779,7,TSLA
8/2/22,294.0033264,307.8333435,292.6666565,300.5866699,95577600,2022-07-20 16:07:00-04:00,12,8,1,3,2022,0,0,17.37423034,0.011134401,188.7316514,8,TSLA
8/3/22,305,309.5499878,301.1499939,307.3966675,80091000,2022-07-20 16:07:00-04:00,13,8,2,3,2022,0,0,16.39102252,0.022655687,193.0074966,9,TSLA
8/4/22,311,313.6066589,305,308.6333313,72256200,2022-07-20 16:07:00-04:00,14,8,3,3,2022,0,0,17.68800344,0.004023023,193.7839702,10,TSLA
8/5/22,302.6700134,304.6066589,285.543335,288.1700134,113172900,2022-07-20 16:07:00-04:00,15,8,4,3,2022,0,0,16.95031702,-0.066303007,180.9355103,11,TSLA
8/8/22,295,305.2000122,289.0866699,290.4233398,98994000,2022-07-20 16:07:00-04:00,18,8,0,3,2022,0,0,15.4585031,0.007819434,182.3503236,12,TSLA
8/9/22,290.293335,292.3966675,279.3533325,283.3333435,86244600,2022-07-20 16:07:00-04:00,19,8,1,3,2022,0,0,11.27877995,-0.024412626,177.8986734,13,TSLA
8/10/22,297.0666809,297.5100098,283.3699951,294.3566589,94918800,2022-07-20 16:07:00-04:00,20,8,2,3,2022,0,0,9.328431345,0.038905818,184.8199667,14,TSLA
8/11/22,296.5133362,298.2366638,285.8333435,286.6300049,70155000,2022-07-20 16:07:00-04:00,21,8,3,3,2022,0,0,8.519078257,-0.026249293,179.9685734,15,TSLA
8/12/22,289.4166565,300.1600037,285.0333252,300.0299988,79657200,2022-07-20 16:07:00-04:00,22,8,4,3,2022,0,0,8.63289677,0.046750144,188.38213,16,TSLA
8/15/22,301.7866821,313.1333313,301.230011,309.3200073,89359200,2022-07-20 16:07:00-04:00,25,8,0,3,2022,0,0,9.658904965,0.030963599,194.2151187,17,TSLA
8/16/22,311.6666565,314.6666565,302.8833313,306.563324,88136400,2022-07-20 16:07:00-04:00,26,8,1,3,2022,0,0,10.08855049,-0.008912076,192.4842589,18,TSLA
8/17/22,303.3966675,309.6566772,300.0333252,303.9966736,68766000,2022-07-20 16:07:00-04:00,27,8,2,3,2022,0,0,9.769675036,-0.008372334,190.8727165,19,TSLA
