"date","close","volume","last_earnings_date","days_since_earning","month","day_of_week","quarter","year","is_month_end","is_month_start","rolling_volatility","cumulative_return","time_idx","nvda_close","unique_id","daily_sentiment","post_count","spike_presence","spike_intensity"
"2024-06-03","114.9542465209961","438392000","2024-05-22 15:22:00-05","11",6,0,2,2024,0,0,"0.0489542713399566","3056.5552226056307",0,"114.9542465209961","NVDA","0.6950230598449707",2,0,"0"
"2024-06-04","116.3906707763672","403324000","2024-05-22 15:22:00-05","12",6,1,2,2024,0,0,"0.0124956171593777","3094.748766493807",1,"116.3906707763672","NVDA","0.8034714460372925",1,0,"0"
"2024-06-05","122.39127349853516","528402000","2024-05-22 15:22:00-05","13",6,2,2,2024,0,0,"0.0515557018628882","3254.300711239703",2,"122.39127349853516","NVDA","1",1,0,"0"
"2024-06-06","120.9498519897461","664696000","2024-05-22 15:22:00-05","14",6,3,2,2024,0,0,"-0.0117771591681845","3215.974293782297",3,"120.9498519897461","NVDA","0.9208677411079407",1,0,"0"
"2024-06-07","120.83989715576172","412386000","2024-05-22 15:22:00-05","15",6,4,2,2024,0,0,"-0.0009090944071076","3213.050669538418",4,"120.83989715576172","NVDA","0",0,0,"0"
"2024-06-10","121.74153900146484","314162700","2024-05-22 15:22:00-05","18",6,0,2,2024,0,0,"0.0074614582346168","3237.0247129148865",5,"121.74153900146484","NVDA","-1",1,0,"0"
"2024-06-11","120.87181854248048","222551200","2024-05-22 15:22:00-05","19",6,1,2,2024,0,0,"-0.0071439910002608","3213.8994374982008",6,"120.87181854248048","NVDA","0",0,0,"0"
"2024-06-12","125.16045379638672","299595000","2024-05-22 15:22:00-05","20",6,2,2,2024,0,0,"0.0354808532346107","3327.931331750872",7,"125.16045379638672","NVDA","0.891063392162323",1,0,"0"
"2024-06-13","129.56906127929688","260704500","2024-05-22 15:22:00-05","21",6,3,2,2024,0,0,"0.0352236457218519","3445.1532059671163",8,"129.56906127929688","NVDA","0",0,0,"0"
"2024-06-14","131.83836364746094","309320400","2024-05-22 15:22:00-05","22",6,4,2,2024,0,0,"0.0175142302163662","3505.4924123470764",9,"131.83836364746094","NVDA","0.9175414045651754",6,1,"1.6694023383133905"
"2024-06-17","130.9386444091797","288504400","2024-05-22 15:22:00-05","25",6,0,2,2024,0,0,"-0.0068244114489096","3481.569489794189",10,"130.9386444091797","NVDA","0.9580142299334208",3,0,"0"
"2024-06-18","135.5371856689453","294335100","2024-05-22 15:22:00-05","26",6,1,2,2024,0,0,"0.0351198172282531","3603.841573943223",11,"135.5371856689453","NVDA","1",1,0,"0"
"2024-06-20","130.7386932373047","517768400","2024-05-22 15:22:00-05","28",6,3,2,2024,0,0,"-0.0354035123863433","3476.2529241417055",12,"130.7386932373047","NVDA","0.8381655216217041",4,0,"0"
"2024-06-21","126.53002166748048","655484700","2024-05-22 15:22:00-05","29",6,4,2,2024,0,0,"-0.0321914764910876","3364.347209857123",13,"126.53002166748048","NVDA","0.637511670589447",1,0,"0"
"2024-06-24","118.07269287109376","476060900","2024-05-22 15:22:00-05","32",6,0,2,2024,0,0,"-0.0668404911730157","3139.472589873708",14,"118.07269287109376","NVDA","0.8925777971744537",2,0,"0"
"2024-06-25","126.0501708984375","425787500","2024-05-22 15:22:00-05","33",6,1,2,2024,0,0,"0.0675641237051583","3351.588304304889",15,"126.0501708984375","NVDA","0",0,0,"0"
"2024-06-26","126.36009216308594","362975900","2024-05-22 15:22:00-05","34",6,2,2,2024,0,0,"0.0024587135617464","3359.828899922074",16,"126.36009216308594","NVDA","0.8516557812690735",2,0,"0"
"2024-06-27","123.95084381103516","252571700","2024-05-22 15:22:00-05","35",6,3,2,2024,0,0,"-0.0190665289238733","3295.768625022444",17,"123.95084381103516","NVDA","0.4556061327457428",1,0,"0"
"2024-06-28","123.50098419189452","315516700","2024-05-22 15:22:00-05","36",6,4,2,2024,0,0,"-0.0036293389000758","3283.8071637460007",18,"123.50098419189452","NVDA","0",0,0,"0"
"2024-07-01","124.26074981689452","284885500","2024-05-22 15:22:00-05","39",7,0,3,2024,0,1,"0.0061518993550648","3304.0088149188073",19,"124.26074981689452","NVDA","0.8849307298660278",1,0,"0"
"2024-07-02","122.63125610351562","218374000","2024-05-22 15:22:00-05","40",7,1,3,2024,0,0,"-0.0131135029828812","3260.6816854689037",20,"122.63125610351562","NVDA","0",0,0,"0"
"2024-07-03","128.23948669433594","215749000","2024-05-22 15:22:00-05","41",7,2,3,2024,0,0,"0.045732472854117","3409.800722135527",21,"128.23948669433594","NVDA","0",0,0,"0"
"2024-07-05","125.7902603149414","214176700","2024-05-22 15:22:00-05","43",7,4,3,2024,0,0,"-0.0190988473404635","3344.6774586820584",22,"125.7902603149414","NVDA","-0.06369444727897644",2,0,"0"
"2024-07-08","128.1595001220703","237677300","2024-05-22 15:22:00-05","46",7,0,3,2024,0,0,"0.0188348430251836","3407.6739335862053",23,"128.1595001220703","NVDA","0.8675591349601746",1,0,"0"
"2024-07-09","131.33851623535156","285366600","2024-05-22 15:22:00-05","47",7,1,3,2024,0,0,"0.0248051538142179","3492.2018096575125",24,"131.33851623535156","NVDA","0.812934160232544",1,0,"0"
"2024-07-10","134.86740112304688","248978600","2024-05-22 15:22:00-05","48",7,2,3,2024,0,0,"0.0268686215502216","3586.0324584581995",25,"134.86740112304688","NVDA","0.43573233485221863",4,0,"0"
"2024-07-11","127.35977172851562","374782700","2024-05-22 15:22:00-05","49",7,3,3,2024,0,0,"-0.0556667462412331","3386.4096995803816",26,"127.35977172851562","NVDA","0.638062983751297",2,0,"0"
"2024-07-12","129.19918823242188","252680500","2024-05-22 15:22:00-05","50",7,4,3,2024,0,0,"0.0144426805964068","3435.3185332399953",27,"129.19918823242188","NVDA","1",1,0,"0"
"2024-07-15","128.39944458007812","208326200","2024-05-22 15:22:00-05","53",7,0,3,2024,0,0,"-0.0061900052414033","3414.0538935133495",28,"128.39944458007812","NVDA","0",0,0,"0"
"2024-07-16","126.3200912475586","214769500","2024-05-22 15:22:00-05","54",7,1,3,2024,0,0,"-0.0161944106481138","3358.7653027870024",29,"126.3200912475586","NVDA","0.8621715903282166",1,0,"0"
"2024-07-17","117.95272827148438","390086200","2024-05-22 15:22:00-05","55",7,2,3,2024,0,0,"-0.0662393677319002","3136.282812770547",30,"117.95272827148438","NVDA","-0.047860562801361084",2,0,"0"
"2024-07-18","121.05175018310548","320979500","2024-05-22 15:22:00-05","56",7,3,3,2024,0,0,"0.0262734228960628","3218.683697432121",31,"121.05175018310548","NVDA","0",0,0,"0"
