Date,Open,High,Low,Close,Volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,time_idx,unique_id
2022-07-21,255.10667419433594,273.26666259765625,254.86666870117188,271.7066650390625,142032300,2022-07-20 16:07:00-04:00,0.0,7,3,3,2022,0,0,11.297786374972086,0.09780470722853529,170.59854183964464,0,TSLA
2022-07-22,276.2200012207031,280.78668212890625,270.71331787109375,272.24334716796875,103472700,2022-07-20 16:07:00-04:00,1.0,7,4,3,2022,0,0,14.373494703802498,0.0019752262198982073,170.9355125525627,1,TSLA
2022-07-25,272.2166748046875,274.14666748046875,267.3999938964844,268.4333190917969,64073400,2022-07-20 16:07:00-04:00,4.0,7,0,3,2022,0,0,15.304628635225423,-0.013994935471540293,168.54328108459492,2,TSLA
2022-07-26,266.5133361816406,267.30999755859375,256.2633361816406,258.8599853515625,66820800,2022-07-20 16:07:00-04:00,5.0,7,1,3,2022,0,0,14.383919269925345,-0.0356637312112531,162.53239881053125,3,TSLA
2022-07-27,263.80999755859375,275.9266662597656,261.7900085449219,274.82000732421875,88110000,2022-07-20 16:07:00-04:00,6.0,7,2,3,2022,0,0,14.96098235712157,0.061655036992220635,172.5533398716289,4,TSLA
2022-07-28,280.0666809082031,283.29998779296875,272.79998779296875,280.8999938964844,84723000,2022-07-20 16:07:00-04:00,7.0,7,3,3,2022,0,0,15.481791304857728,0.02212352234272652,176.37082754159098,5,TSLA
2022-07-29,280.70001220703125,298.32000732421875,279.1000061035156,297.1499938964844,95313000,2022-07-20 16:07:00-04:00,8.0,7,4,3,2022,0,0,17.660944047495583,0.05784976985791013,186.57383932452117,6,TSLA
2022-08-01,301.27667236328125,311.8766784667969,295.0,297.27667236328125,117042900,2022-07-20 16:07:00-04:00,11.0,8,0,3,2022,0,1,17.769882316488225,0.00042631152414229767,186.65337790232869,7,TSLA
2022-08-02,294.0033264160156,307.8333435058594,292.6666564941406,300.586669921875,95577600,2022-07-20 16:07:00-04:00,12.0,8,1,3,2022,0,0,17.37423034241507,0.011134400598203698,188.7316513849011,8,TSLA
2022-08-03,305.0,309.54998779296875,301.1499938964844,307.39666748046875,80091000,2022-07-20 16:07:00-04:00,13.0,8,2,3,2022,0,0,16.391022515556724,0.02265568716125621,193.0074966361047,9,TSLA
2022-08-04,311.0,313.6066589355469,305.0,308.6333312988281,72256200,2022-07-20 16:07:00-04:00,14.0,8,3,3,2022,0,0,17.688003442691627,0.004023022853486102,193.7839702059659,10,TSLA
2022-08-05,302.6700134277344,304.6066589355469,285.5433349609375,288.1700134277344,113172900,2022-07-20 16:07:00-04:00,15.0,8,4,3,2022,0,0,16.950317017077065,-0.0663030068235908,180.93551030709722,11,TSLA
2022-08-08,295.0,305.20001220703125,289.086669921875,290.42333984375,98994000,2022-07-20 16:07:00-04:00,18.0,8,0,3,2022,0,0,15.458503097062543,0.007819434052879659,182.3503235977677,12,TSLA
2022-08-09,290.2933349609375,292.39666748046875,279.35333251953125,283.3333435058594,86244600,2022-07-20 16:07:00-04:00,19.0,8,1,3,2022,0,0,11.278779948031605,-0.024412625864385085,177.89867337152583,13,TSLA
2022-08-10,297.0666809082031,297.510009765625,283.3699951171875,294.3566589355469,94918800,2022-07-20 16:07:00-04:00,20.0,8,2,3,2022,0,0,9.328431344511019,0.03890581776676605,184.81996673866786,14,TSLA
2022-08-11,296.5133361816406,298.2366638183594,285.8333435058594,286.6300048828125,70155000,2022-07-20 16:07:00-04:00,21.0,8,3,3,2022,0,0,8.51907825657204,-0.026249292544206493,179.96857336373407,15,TSLA
2022-08-12,289.4166564941406,300.1600036621094,285.0333251953125,300.0299987792969,79657200,2022-07-20 16:07:00-04:00,22.0,8,4,3,2022,0,0,8.632896769670626,0.046750143628413676,188.38213001708934,16,TSLA
2022-08-15,301.78668212890625,313.1333312988281,301.2300109863281,309.32000732421875,89359200,2022-07-20 16:07:00-04:00,25.0,8,0,3,2022,0,0,9.65890496471137,0.03096359891583922,194.21511873384998,17,TSLA
2022-08-16,311.6666564941406,314.6666564941406,302.8833312988281,306.5633239746094,88136400,2022-07-20 16:07:00-04:00,26.0,8,1,3,2022,0,0,10.088550491615159,-0.008912075793144236,192.4842588755194,18,TSLA
2022-08-17,303.39666748046875,309.65667724609375,300.0333251953125,303.9966735839844,68766000,2022-07-20 16:07:00-04:00,27.0,8,2,3,2022,0,0,9.769675036038478,-0.008372333511224461,190.8727164645527,19,TSLA
