Date,Open,High,Low,Close,Volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,return_1d,rolling_volatility,cumulative_return,time_idx,unique_id
2022-08-25,16.818790101485074,17.920139924082378,16.807806884713354,17.88619041442871,770691000,2022-08-24 16:20:00-04:00,0.0,8,3,3,2022,0,0,0.040123121985977006,0.037966552413765904,475.608254226055,0,NVDA
2022-08-26,17.830276401600646,17.89717556881222,16.212699979656055,16.235666275024414,769127000,2022-08-24 16:20:00-04:00,1.0,8,4,3,2022,0,0,-0.09227924455466086,0.04208223210004057,431.71948382211355,1,NVDA
2022-08-29,15.996023465490442,16.313546405492897,15.743401869330192,15.777350425720215,496132000,2022-08-24 16:20:00-04:00,4.0,8,0,3,2022,0,0,-0.02822895232881406,0.041471794371573806,419.5324950938789,2,NVDA
2022-08-30,15.936113234567129,16.014994517950544,15.159277763293133,15.444849967956543,530181000,2022-08-24 16:20:00-04:00,5.0,8,1,3,2022,0,0,-0.021074543493794118,0.03729129124234542,410.69103927896293,3,NVDA
2022-08-31,15.360976126984164,15.516742794473238,14.93661199162875,15.071410179138184,573710000,2022-08-24 16:20:00-04:00,6.0,8,2,3,2022,1,0,-0.024178919807776422,0.03746242777671784,400.7609735744645,4,NVDA
2022-09-01,14.187732809926837,14.358477351582556,13.250139048117646,13.91614055633545,1178865000,2022-08-24 16:20:00-04:00,7.0,9,3,3,2022,0,1,-0.07665305429759028,0.03772720287512921,370.0414209067059,5,NVDA
2022-09-02,14.078897554096939,14.149790438422428,13.570658574144392,13.626575469970703,743157000,2022-08-24 16:20:00-04:00,8.0,9,4,3,2022,0,0,-0.020807858701378135,0.03616396549037075,362.341651306822,6,NVDA
2022-09-06,13.710449751958874,13.758378249021042,13.331018356208773,13.44484806060791,535751000,2022-08-24 16:20:00-04:00,12.0,9,1,3,2022,0,0,-0.013336249431360914,0.03602450370783539,357.509372665623,7,NVDA
2022-09-07,13.546725262384383,13.821395856950085,13.329985636577405,13.69754409790039,512657000,2022-08-24 16:20:00-04:00,13.0,9,2,3,2022,0,0,0.01879500877610174,0.03766653661619677,364.228764462412,8,NVDA
2022-09-08,13.442850204572082,13.991192199632435,13.352958995533832,13.973213195800781,624873000,2022-08-24 16:20:00-04:00,14.0,9,3,3,2022,0,0,0.020125439708761128,0.037342560711420475,371.55902850179683,9,NVDA
