impact_trading_day,post_count,smoothed,spike_presence,spike_intensity,loess_upper
2024-06-03,2,1.5799675660302694,0,0.0,4.314528357624803
2024-06-04,1,1.3850091362228714,0,0.0,4.1195699278174045
2024-06-05,1,1.2021455840890356,0,0.0,3.9367063756835687
2024-06-06,1,1.034158602225401,0,0.0,3.768719393819934
2024-06-10,1,1.1245177522755259,0,0.0,3.859078543870059
2024-06-12,1,1.4124413993547118,0,0.0,4.1470021909492445
2024-06-14,6,1.5960368700920762,1,1.6694023383133905,4.3305976616866095
2024-06-17,3,1.74448245107062,0,0.0,4.479043242665153
2024-06-18,1,1.8652663053789356,0,0.0,4.599827096973469
2024-06-20,4,1.8354237418550041,0,0.0,4.569984533449537
2024-06-21,1,1.7109194161108872,0,0.0,4.445480207705421
2024-06-24,2,1.637270381594372,0,0.0,4.371831173188905
2024-06-26,2,1.535613801657634,0,0.0,4.270174593252167
2024-06-27,1,1.4911143092451358,0,0.0,4.225675100839669
2024-07-01,1,1.3766257222245302,0,0.0,4.111186513819064
2024-07-05,2,1.242682673117594,0,0.0,3.977243464712127
2024-07-08,1,1.2661210673493566,0,0.0,4.0006818589438895
2024-07-09,1,1.3495608878014085,0,0.0,4.084121679395942
2024-07-10,4,1.296930002643344,0,0.0,4.031490794237877
2024-07-11,2,1.3019954364496527,0,0.0,4.036556228044185
2024-07-12,1,1.4038011792136134,0,0.0,4.1383619708081465
2024-07-16,1,1.4197387282717764,0,0.0,4.15429951986631
2024-07-17,2,1.4931000700897408,0,0.0,4.227660861684274
2024-07-25,1,1.589450852128103,0,0.0,4.324011643722637
2024-07-26,3,1.739638800661114,0,0.0,4.474199592255648
2024-07-29,1,1.9117413639560477,0,0.0,4.646302155550581
2024-07-30,2,2.046642446288693,0,0.0,4.781203237883226
2024-07-31,3,2.211939991143617,0,0.0,4.94650078273815
2024-08-01,1,2.372996818389426,0,0.0,5.107557609983959
2024-08-02,3,2.3440295737028585,0,0.0,5.078590365297392
2024-08-05,10,2.171888517152154,1,5.093550691253313,4.906449308746687
2024-08-06,2,1.9895182639553852,0,0.0,4.724079055549918
2024-08-07,7,1.7777502106945737,1,2.487688997710893,4.512311002289107
2024-08-09,1,1.5318281887389584,0,0.0,4.266388980333492
2024-08-12,2,1.3643261645329907,0,0.0,4.098886956127524
2024-08-13,1,1.3440987303874476,0,0.0,4.078659521981981
2024-08-16,1,1.3253848051117683,0,0.0,4.059945596706301
2024-08-19,2,1.233548500265406,0,0.0,3.968109291859939
2024-08-20,1,1.229217105693729,0,0.0,3.9637778972882622
2024-08-22,1,1.3661495229954495,0,0.0,4.100710314589983
2024-08-23,1,1.6760424400162552,0,0.0,4.410603231610788
2024-08-26,2,2.307658445351916,0,0.0,5.042219236946449
2024-08-27,3,3.2079042882122084,0,0.0,5.942465079806741
2024-08-28,5,3.565233178224905,0,0.0,6.299793969819438
2024-08-29,8,3.4167181956956236,1,1.8487210127098432,6.151278987290157
2024-08-30,1,3.1624513071939586,0,0.0,5.897012098788492
2024-09-09,4,2.7652170446797686,0,0.0,5.499777836274301
2024-09-11,1,2.1129509664790995,0,0.0,4.847511758073633
2024-09-12,1,1.6903661740932994,0,0.0,4.424926965687833
2024-09-13,2,1.3339451042796955,0,0.0,4.068505895874228
2024-09-16,1,1.2402260022955118,0,0.0,3.974786793890045
2024-09-17,1,1.3158630580626525,0,0.0,4.050423849657186
2024-09-18,1,1.388539929760741,0,0.0,4.123100721355274
2024-09-24,2,1.4730165676615248,0,0.0,4.207577359256058
2024-09-25,2,1.623673755983815,0,0.0,4.358234547578348
2024-09-27,1,1.763246384157054,0,0.0,4.497807175751587
2024-09-30,2,1.8145496687543337,0,0.0,4.549110460348867
2024-10-01,2,1.8693714032069901,0,0.0,4.603932194801523
2024-10-03,2,1.9270937990523052,0,0.0,4.6616545906468385
2024-10-07,2,1.8219773064465752,0,0.0,4.556538098041108
2024-10-08,2,1.670721916662723,0,0.0,4.405282708257256
2024-10-11,1,1.664226266757236,0,0.0,4.398787058351769
2024-10-15,1,1.662776338597572,0,0.0,4.397337130192105
2024-10-16,3,1.649231190657807,0,0.0,4.38379198225234
2024-10-18,2,1.7471764773724616,0,0.0,4.481737268966995
2024-10-21,1,1.7170884675378038,0,0.0,4.451649259132337
2024-10-22,3,1.4933186957281914,0,0.0,4.227879487322724
2024-10-23,1,1.3006789391949156,0,0.0,4.035239730789449
2024-10-24,1,1.178033324781983,0,0.0,3.912594116376516
2024-10-25,1,1.0769259825823965,0,0.0,3.8114867741769296
2024-10-28,1,1.1305121214908334,0,0.0,3.8650729130853665
2024-10-29,1,1.184971079768438,0,0.0,3.919531871362971
2024-10-30,2,1.2346031714655064,0,0.0,3.9691639630600397
2024-11-04,1,1.370775705448772,0,0.0,4.1053364970433055
2024-11-06,1,1.4772522678716922,0,0.0,4.211813059466225
2024-11-12,2,1.4501952722238656,0,0.0,4.184756063818399
2024-11-13,2,1.4114453950142731,0,0.0,4.1460061866088065
2024-11-15,1,1.3839483650171918,0,0.0,4.118509156611725
2024-11-18,1,1.363031336689494,0,0.0,4.0975921282840275
2024-11-19,1,1.3895430996557188,0,0.0,4.124103891250252
2024-11-20,2,1.4906128799786968,0,0.0,4.22517367157323
2024-11-21,2,1.6346215856256219,0,0.0,4.369182377220155
2024-11-22,1,1.6202435271720932,0,0.0,4.354804318766626
2024-11-25,3,1.5121234465743634,0,0.0,4.246684238168896
2024-11-26,1,1.4980550595063369,0,0.0,4.23261585110087
2024-11-29,1,1.5714577146919515,0,0.0,4.306018506286485
2024-12-03,2,1.686428698602865,0,0.0,4.420989490197398
2024-12-04,2,1.8852905819865575,0,0.0,4.61985137358109
2024-12-06,2,1.8889401142956075,0,0.0,4.623500905890141
2024-12-09,3,1.7164853206811124,0,0.0,4.4510461122756455
2024-12-10,1,1.5054203934565205,0,0.0,4.239981185051054
