,A Upvote mean,A Upvote std,B FinBERT mean,B FinBERT std
MAE,18.32872133255005,34.924972070221266,9.960793519020081,7.739707731651777
RMSE,18.558658647537232,34.86793016378829,10.370188140869141,7.754100537988404
MAPE,5.793740594387055,11.035438940570305,3.1509737014770507,2.443220115234124
