,MAE,MSE,RMSE,MAPE,Time(s)
Upvote neutral,4.397833347320557,20.192596435546875,4.493617534637451,1.39031982421875,63.347679138183594
FinBERT neutral,2.9995179176330566,12.751470565795898,3.57092022895813,0.9559245705604553,67.02971911430359
