impact_trading_day,post_count,smoothed,spike_presence,spike_intensity,loess_upper
2024-06-04,1,0.6733832177852945,0,0.0,3.642277957196474
2024-06-05,1,1.1096858638865126,0,0.0,4.078580603297692
2024-06-07,1,1.559878329931299,0,0.0,4.528773069342479
2024-06-10,4,2.027008431341353,0,0.0,4.995903170752532
2024-06-11,1,2.5186497770766203,0,0.0,5.4875445164878
2024-06-12,2,3.0311744218445376,0,0.0,6.000069161255717
2024-06-13,4,3.3611100408111487,0,0.0,6.330004780222328
2024-06-14,5,3.4763378949049875,0,0.0,6.4452326343161666
2024-06-17,6,3.6005727367884712,0,0.0,6.569467476199651
2024-06-21,1,3.5551181765931186,0,0.0,6.524012916004298
2024-06-25,3,3.218820933475771,0,0.0,6.1877156728869505
2024-06-26,4,2.7848478348824894,0,0.0,5.753742574293669
2024-06-27,2,2.4891322523882975,0,0.0,5.458026991799477
2024-06-28,1,2.2837451542329834,0,0.0,5.252639893644163
2024-07-01,3,2.077043005989289,0,0.0,5.045937745400469
2024-07-02,2,1.9672020781512167,0,0.0,4.9360968175623965
2024-07-03,1,1.9260753554019419,0,0.0,4.894970094813122
2024-07-05,2,1.859947110566334,0,0.0,4.828841849977514
2024-07-08,3,1.8538352944590688,0,0.0,4.822730033870249
2024-07-09,1,1.9439693957246171,0,0.0,4.912864135135797
2024-07-10,1,1.9924399060464784,0,0.0,4.961334645457658
2024-07-11,4,1.9043403078299181,0,0.0,4.8732350472410975
2024-07-12,2,1.7819239560462687,0,0.0,4.750818695457449
2024-07-15,2,1.6895811514637091,0,0.0,4.658475890874889
2024-07-18,1,1.5183955321915912,0,0.0,4.48729027160277
2024-07-23,1,1.291443346927678,0,0.0,4.260338086338858
2024-07-24,1,1.183585915279259,0,0.0,4.1524806546904385
2024-07-25,1,1.156890586017733,0,0.0,4.125785325428913
2024-07-30,1,1.1827117037243198,0,0.0,4.151606443135499
2024-08-02,2,1.24887629619594,0,0.0,4.21777103560712
2024-08-06,1,1.3020878482899512,0,0.0,4.2709825877011305
2024-08-07,1,1.3225131821268543,0,0.0,4.291407921538034
2024-08-08,2,1.3328055932626013,0,0.0,4.30170033267378
2024-08-09,1,1.3265332615882006,0,0.0,4.29542800099938
2024-08-15,1,1.3479850864328784,0,0.0,4.316879825844058
2024-08-16,2,1.4723895945831118,0,0.0,4.441284333994291
2024-08-19,1,1.7175271801714236,0,0.0,4.686421919582603
2024-08-22,1,1.9414991080194173,0,0.0,4.910393847430597
2024-08-23,3,2.0561288549018637,0,0.0,5.025023594313043
2024-08-26,4,2.1702802279672007,0,0.0,5.139174967378381
2024-08-29,2,2.296998500475736,0,0.0,5.265893239886916
2024-08-30,1,2.2910745265544414,0,0.0,5.259969265965621
2024-09-03,3,2.076294502681639,0,0.0,5.045189242092818
2024-09-05,2,1.84741460932378,0,0.0,4.8163093487349595
2024-09-09,2,1.7340628473961666,0,0.0,4.702957586807346
2024-09-11,1,1.6171718342946464,0,0.0,4.586066573705826
2024-09-13,1,1.4312297613173421,0,0.0,4.400124500728522
2024-09-16,2,1.2934565866840573,0,0.0,4.262351326095237
2024-09-17,1,1.2671238622620797,0,0.0,4.236018601673259
2024-09-18,1,1.298267576597451,0,0.0,4.267162316008631
2024-09-23,1,1.3516583580499635,0,0.0,4.3205530974611435
2024-09-24,2,1.4174866471713017,0,0.0,4.386381386582482
2024-09-25,1,1.521121742935107,0,0.0,4.490016482346286
2024-09-27,2,1.669555615132088,0,0.0,4.638450354543267
2024-09-30,2,1.8078531971080456,0,0.0,4.776747936519225
2024-10-02,1,1.8879959257346182,0,0.0,4.856890665145798
2024-10-03,3,1.8809447942200312,0,0.0,4.849839533631211
